Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
18/12/17,2690.159912,117.183968,105.868828,516.119446,36.433521,75.009293,149.688599,1085.089966,163.056427,190.419998
19/12/17,2681.469971,117.739853,105.423424,513.09552,36.247082,74.04776,149.370255,1079.780029,163.786118,187.020004
20/12/17,2679.25,118.146843,105.05719,511.832214,35.776089,74.008118,147.698975,1073.560059,162.583115,188.820007
21/12/17,2684.570068,117.392426,106.729958,510.877319,35.560215,75.157982,146.714111,1070.849976,167.247223,188.619995
22/12/17,2683.340088,117.729927,106.353828,509.415039,35.46209,74.830864,146.226669,1068.859985,169.288376,189.940002
26/12/17,2680.5,118.017799,105.928223,511.006561,35.530773,74.12706,145.112473,1065.849976,167.789566,187.759995
27/12/17,2682.620117,118.424797,106.126175,511.603424,35.648525,74.236107,145.86853,1060.199951,167.710663,186.240005
28/12/17,2687.540039,118.474426,106.690361,515.24408,35.687775,74.424446,147.052353,1055.949951,168.29245,192.710007
29/12/17,2673.610107,119.040237,105.849037,510.996674,35.540588,73.7603,146.843445,1053.400024,166.290726,191.960007
2/1/18,2695.810059,117.193886,106.848724,506.281677,35.756462,73.710732,145.371124,1073.209961,165.649796,201.070007
3/1/18,2713.060059,116.886162,106.957611,511.623352,36.021397,73.938721,148.086945,1091.52002,166.48793,205.050003
4/1/18,2723.98999,117.461906,108.489845,518.377441,36.099899,74.850693,150.812729,1095.76001,166.468231,205.630005
5/1/18,2743.149902,117.799408,107.793373,522.794006,36.168583,74.751572,153.319626,1110.290039,166.13295,209.990005
8/1/18,2747.709961,117.124397,107.952568,526.693298,35.766273,73.87925,154.264694,1114.209961,166.695023,212.050003
9/1/18,2751.290039,117.213745,108.499794,531.119812,35.727028,74.652435,155.309235,1112.790039,166.02449,209.309998
10/1/18,2748.22998,116.618149,109.693733,528.762329,35.7859,74.989471,154.006042,1110.140015,163.894592,212.520004
11/1/18,2767.560059,116.022545,110.280754,535.078735,35.87421,74.900253,154.911316,1112.050049,166.675293,217.240005
12/1/18,2786.23999,116.518875,112.101524,552.595764,35.854588,76.169075,156.43338,1130.650024,170.343475,221.229996
16/1/18,2776.419922,116.995354,111.703545,560.026306,35.91346,76.436722,154.722305,1130.699951,166.59642,221.529999
17/1/18,2802.560059,118.305672,112.419907,573.464966,36.482582,76.793579,156.592545,1139.099976,168.992569,217.5
18/1/18,2798.030029,118.176628,112.688553,576.160583,36.29615,76.714272,156.761673,1135.969971,165.058136,220.330002
19/1/18,2810.300049,119.288406,112.439812,587.142334,36.247082,77.616333,158.353348,1143.5,165.196198,220.460007
22/1/18,2832.969971,120.618584,113.753151,590.126465,36.237274,77.903793,159.636658,1164.160034,164.328445,227.580002
23/1/18,2839.129883,120.410126,113.633759,586.565369,36.129333,77.864151,160.00473,1176.170044,169.584198,250.289993
24/1/18,2837.540039,120.251289,115.086388,584.565979,36.237274,78.756287,161.347733,1171.290039,176.476822,261.299988
25/1/18,2839.25,120.013054,115.116234,572.460266,36.531643,78.746384,161.944611,1182.140015,180.539429,269.700012
