"PEP.Adjusted","JPM.Adjusted","BLK.Adjusted","PFE.Adjusted","GSPC.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","WHR.Adjusted","BA.Adjusted","NFLX.Adjusted","V.Adjusted"
113.054359,97.138809,469.134613,34.706532,2578.850098,70.707191,145.649643,1035.890015,163.095856,259.676392,193.199997,109.453247
113.281105,97.999939,469.906616,34.686909,2582.139893,71.420906,147.53981,1034.660034,162.898651,262.02301,194.100006,109.582817
114.404945,97.920753,476.429108,34.873344,2599.030029,71.748016,148.683838,1050.300049,166.52739,264.359772,196.229996,111.077805
113.448692,97.633705,474.033905,34.765408,2597.080078,71.629066,148.624146,1051.920044,164.318588,262.537903,196.320007,110.449913
114.257072,97.316971,474.825684,34.824284,2602.419922,71.391159,149.449829,1056.52002,165.482162,263.260712,195.75,111.596077
114.207779,96.930954,477.022949,34.824284,2601.419922,70.766663,149.091705,1072.01001,162.701447,262.963654,195.050003,112.0047
115.114731,100.325966,488.009247,35.177528,2627.040039,73.056488,150.096466,1063.290039,165.146881,265.349915,199.179993,112.98143
115.183739,102.671783,495.689789,35.530773,2626.070068,74.384796,149.061859,1037.380005,166.635864,266.647003,188.149994,109.493118
115.665184,103.45372,496.056,35.579838,2647.580078,74.840782,151.031586,1036.170044,166.22171,274.073151,187.580002,112.213997
115.923279,103.72097,499.42807,35.668152,2642.219971,74.850693,150.514282,1025.069946,165.127182,268.706543,186.820007,110.360214
116.598289,105.858932,510.78775,35.383595,2639.439941,76.426804,150.961945,1011.869995,167.266953,275.231598,184.039993,107.071236
116.727333,104.641479,509.415039,34.961655,2629.570068,75.871696,151.290222,1019.599976,166.764038,272.825531,184.210007,108.217392
118.027725,103.859543,509.116638,34.892971,2629.27002,74.781303,151.479248,1032.719971,166.754196,275.528656,185.300003,109.37352
115.87365,103.552711,509.703491,34.834095,2636.97998,74.325325,150.942047,1044.569946,168.11496,279.1922,185.199997,111.027977
115.714821,104.849335,512.767212,35.069592,2651.5,75.048943,151.598618,1049.380005,167.335968,283.083496,188.539993,112.223969
116.528801,104.542503,509.424988,35.530773,2659.98999,75.187721,151.598618,1051.969971,165.531448,280.370483,186.220001,111.994736
116.538734,105.759949,514.995422,35.893841,2664.110107,75.485107,151.777695,1048.77002,164.190384,287.08371,185.729996,113.081093
116.935799,104.433624,509.842773,35.952713,2662.850098,74.483917,149.390137,1051.390015,164.713013,288.964966,187.860001,112.931595
117.154175,103.5923,504.073425,35.776089,2652.01001,73.274567,148.723633,1057.469971,161.636475,290.984863,189.559998,112.542892
118.345383,105.05719,509.166382,36.502205,2675.810059,74.117149,149.788071,1072,162.198547,291.044281,190.119995,113.439888
117.183968,105.868828,516.119446,36.433521,2690.159912,75.009293,149.688599,1085.089966,163.056427,293.222626,190.419998,113.170799
117.739853,105.423424,513.09552,36.247082,2681.469971,74.04776,149.370255,1079.780029,163.786118,294.321686,187.020004,111.765503
118.146843,105.05719,511.832214,35.776089,2679.25,74.008118,147.698975,1073.560059,162.583115,294.96524,188.820007,111.745567
117.392426,106.729958,510.877319,35.560215,2684.570068,75.157982,146.714111,1070.849976,167.247223,292.123535,188.619995,112.034599
117.729927,106.353828,509.415039,35.46209,2683.340088,74.830864,146.226669,1068.859985,169.288376,292.192871,189.940002,112.313675
118.017799,105.928223,511.006561,35.530773,2680.5,74.12706,145.112473,1065.849976,167.789566,292.450287,187.759995,112.612663
118.424797,106.126175,511.603424,35.648525,2682.620117,74.236107,145.86853,1060.199951,167.710663,292.707703,186.240005,113.639229
118.474426,106.690361,515.24408,35.687775,2687.540039,74.424446,147.052353,1055.949951,168.29245,293.430542,192.710007,113.968117
119.040237,105.849037,510.996674,35.540588,2673.610107,73.7603,146.843445,1053.400024,166.290726,292.00473,191.960007,113.639229
117.193886,106.848724,506.281677,35.756462,2695.810059,73.710732,145.371124,1073.209961,165.649796,293.91571,201.070007,114.127594
116.886162,106.957611,511.623352,36.021397,2713.060059,73.938721,148.086945,1091.52002,166.48793,294.866241,205.050003,115.263779
117.461906,108.489845,518.377441,36.099899,2723.98999,74.850693,150.812729,1095.76001,166.468231,293.747406,205.630005,115.692345
117.799408,107.793373,522.794006,36.168583,2743.149902,74.751572,153.319626,1110.290039,166.13295,305.797485,209.990005,118.463058
117.124397,107.952568,526.693298,35.766273,2747.709961,73.87925,154.264694,1114.209961,166.695023,307.094604,212.050003,118.94146
117.213745,108.499794,531.119812,35.727028,2751.290039,74.652435,155.309235,1112.790039,166.02449,315.29303,209.309998,118.712227
116.618149,109.693733,528.762329,35.7859,2748.22998,74.989471,154.006042,1110.140015,163.894592,317.10498,212.520004,118.582664
116.022545,110.280754,535.078735,35.87421,2767.560059,74.900253,154.911316,1112.050049,166.675293,324.887543,217.240005,119.439789
116.518875,112.101524,552.595764,35.854588,2786.23999,76.169075,156.43338,1130.650024,170.343475,332.897858,221.229996,119.68895
116.995354,111.703545,560.026306,35.91346,2776.419922,76.436722,154.722305,1130.699951,166.59642,331.858215,221.529999,119.987953
118.305672,112.419907,573.464966,36.482582,2802.560059,76.793579,156.592545,1139.099976,168.992569,347.552094,217.5,121.572647
